"-","id","timestamp","frameNumber","x","y","vx","vy","size"
"$","8","1707210986057","276","-88.6015625","9.3046875","19.4531936645508","1","6.373291015625"
"$","9","1707210986057","276","-105.9296875","3.59375","20.2383403778076","1","8.3155517578125"
"$","7","1707210986135","277","-28.3984375","13.78125","22.2942867279053","1","6.255615234375"
"$","8","1707210986135","277","-87.453125","9.53125","19.4620170593262","1","6.5701904296875"
"$","9","1707210986135","277","-104.7421875","3.984375","20.3035373687744","1","8.3155517578125"
"$","7","1707210986198","278","-27.0703125","13.9453125","22.2942867279053","1","6.255615234375"
"$","8","1707210986198","278","-86.2890625","9.59375","19.4620170593262","1","6.5701904296875"
"$","9","1707210986198","278","-103.5390625","4.203125","20.3035373687744","1","8.3155517578125"
"$","7","1707210986260","279","-25.7578125","14.1015625","22.2157936096191","1","6.48046875"
"$","8","1707210986260","279","-85.1171875","9.859375","19.4737396240234","1","5.69482421875"
"$","9","1707210986260","279","-102.34375","4.4296875","20.3035373687744","1","8.3155517578125"
"$","7","1707210986323","280","-24.4453125","14.2265625","22.2730598449707","1","6.6796875"
"$","8","1707210986323","280","-83.9453125","10.03125","19.4885101318359","1","5.5303955078125"
"$","9","1707210986323","280","-101.140625","4.6484375","20.3035373687744","1","8.3155517578125"
"$","7","1707210986401","281","-21.7890625","14.5703125","22.2982196807861","1","6.174072265625"
"$","8","1707210986401","281","-81.6171875","10.1640625","19.2603778839111","1","5.8486328125"
"$","9","1707210986401","281","-98.75","5.0859375","20.3035373687744","1","8.3155517578125"
"$","7","1707210986463","282","-20.4609375","14.734375","22.2982196807861","1","6.174072265625"
"$","8","1707210986463","282","-80.46875","10.234375","19.2603778839111","1","5.8486328125"
"$","9","1707210986463","282","-97.546875","5.3046875","20.3035373687744","1","8.3155517578125"
"$","7","1707210986526","283","-19.2890625","14.765625","22.2660388946533","1","4.9005126953125"
"$","8","1707210986526","283","-79.3203125","10.34375","19.2546615600586","1","6.12060546875"
"$","9","1707210986526","283","-96.3515625","5.53125","20.3035373687744","1","8.3155517578125"
